sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;Qwen_Qwen3-4B-Instruct-2507_correct_nll;Qwen_Qwen3-4B-Instruct-2507_incorrect_nll;Qwen_Qwen3-4B-Instruct-2507_certainty;Qwen_Qwen3-4B-Instruct-2507_decision
199.0;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Kiek tau palikti pinigų savaitei?;Kiek tau palikti pinigų ant savaitės?; ;;vlkk;;4.540516376495361;4.549761772155762;0.00924539566040039;correct
200.0;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Išvažiuoju visam laikui.;Išvažiuoju ant visados.; ;;vlkk;;4.556791305541992;6.829026699066162;2.27223539352417;correct
;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Grįšiu tik vakare.;Grįšiu tik ant vakaro.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;7.876121520996094;6.978194236755371;-0.8979272842407227;incorrect
;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Rytojaus dieną pasveikau.;Ant rytojaus pasveikau.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;5.0514092445373535;6.103202819824219;1.0517935752868652;correct
;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Močiutė atvažiavo dviem dienoms.;Močiutė atvažiavo ant dviejų dienų.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.6710264682769775;3.2735707759857178;-0.39745569229125977;incorrect
;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Šiomis dienomis atliksiu darbą.;Ant dienų atliksiu darbą.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.0700783729553223;4.780350685119629;1.7102723121643066;correct
201.0;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Iš pradžių pykosi, bet galų gale susitaikė.;Iš pradžių pykosi, bet ant galo susitaikė.; ;;vlkk;;3.9166924953460693;4.444179058074951;0.5274865627288818;correct
;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Renginys prasidės vakarop, kai žmonės grįš iš darbo.;Renginys prasidės ant vakaro, kai žmonės grįš iš darbo.; ;;ChatGPT;;3.264014720916748;2.903995990753174;-0.3600187301635742;incorrect
;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Pasimatome per pietus, jei tau tinka.;Pasimatome ant pietų, jei tau tinka.; ;;ChatGPT;;5.172311782836914;5.122070789337158;-0.05024099349975586;incorrect
202.0;2;Use of Prepositions;7;4.1 Ant;7;4.1.7 Ant should not be used to express time.;1;;Tą klausimą svarstykime gale.;Tą klausimą svarstykime ant galo.; ;;vlkk;;4.798184871673584;4.405895233154297;-0.3922896385192871;incorrect
203.0;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Dirba dviem etatais.;Dirba ant dviejų etatų.; ;;vlkk;;7.2395172119140625;7.270108222961426;0.03059101104736328;correct
204.0;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Jis jau pensininkas.;Jis jau ant pensijos.; ;;vlkk;;6.418160438537598;6.096940994262695;-0.32121944427490234;incorrect
205.0;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Mokėsi penketais.;Mokėsi ant penketų.; ;;vlkk;;7.004612445831299;6.647519111633301;-0.35709333419799805;incorrect
206.0;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Pirkau televizorių išsimokėtinai.;Pirkau televizorių ant išsimokėjimo.; ;;vlkk;;5.249611854553223;5.0820794105529785;-0.16753244400024414;incorrect
;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Kiek aš supratau, ne jis kaltas.;Ant kiek aš supratau, ne jis kaltas.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.6841213703155518;4.300297260284424;0.6161758899688721;correct
;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Nuomoju butą.;Gyvenu ant buto.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;8.118766784667969;7.4699883460998535;-0.6487784385681152;incorrect
;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Tėtis spaudžia šimtu penkiasdešimt.;Tėtis spaudžia ant šimto penkiasdešimt.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.013596773147583;2.79807710647583;-0.21551966667175293;incorrect
207.0;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Turiu biuletenį  ir laikausi dietos.;Esu ant biuletenio ir sėdžiu ant dietos.; ;;vlkk;;6.669727802276611;6.107209205627441;-0.5625185966491699;incorrect
;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Ji dirba pamainomis, nes įmonė veikia visą parą.;Ji dirba ant pamainų, nes įmonė veikia visą parą.; ;;ChatGPT;;4.190549850463867;4.277553558349609;0.08700370788574219;correct
;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Šį mėnesį jie gyvena taupydami pinigus.;Šį mėnesį jie gyvena ant taupymo.; ;;ChatGPT;;3.01802921295166;3.8754398822784424;0.8574106693267822;correct
;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Jis mokėsi muzikos, grodamas kasdien ir laikydamasis griežto praktikos grafiko.;Jis mokėsi muzikos, grodamas kasdien ant griežto praktikos grafiko.; ;;ChatGPT;;4.081754684448242;4.813205242156982;0.7314505577087402;correct
;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Po susirinkimo visi dalyviai grįžo į savo kabinetus, dirbdami tyliai ir susikaupę.;Po susirinkimo visi dalyviai grįžo į savo kabinetus, dirbdami ant tylos ir susikaupimo.; ;;ChatGPT;;3.1325018405914307;3.949918746948242;0.8174169063568115;correct
208.0;2;Use of Prepositions;7;4.1 Ant;8;4.1.8 Ant should not be used to express the nature/mode/condition of an action or state.;1;;Jau porą metų ji nuomoja butą.;Jau porą metų ji gyvena ant buto.; ;;vlkk;;6.598601818084717;6.497190475463867;-0.10141134262084961;incorrect
209.0;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Pasilik pinigų maistui.;Pasilik pinigų ant maisto.; ;;vlkk;;7.719654083251953;7.8927693367004395;0.17311525344848633;correct
210.0;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Įsidėk pinigų kelionei.;Įsidėk pinigų ant kelionės.; ;;vlkk;;4.081140041351318;4.5711588859558105;0.4900188446044922;correct
211.0;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Ar užteks duonos šešiems žmonėms?;Ar užteks duonos ant šešių žmonių?; ;;vlkk;;5.59529972076416;5.573233127593994;-0.022066593170166016;incorrect
212.0;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Pakvietėme svečią pietų.;Pakvietėme svečią ant pietų.; ;;vlkk;;6.379496097564697;6.22012996673584;-0.15936613082885742;incorrect
213.0;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Iškvietė į dvikovą.;Iškvietė ant dvikovos.; ;;vlkk;;7.56179666519165;7.450028896331787;-0.11176776885986328;incorrect
;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Jisai tai padarė iš keršto.;Jisai tai padarė ant keršto.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;5.885249614715576;6.276172161102295;0.39092254638671875;correct
;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Susidėjome dovanai.;Susidėjome ant dovanos.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;4.798063278198242;4.269510269165039;-0.5285530090332031;incorrect
;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Įsigyk bilietus kelionei į sostinę kitą savaitę.;Įsigyk bilietus ant kelionės į sostinę kitą savaitę.; ;;ChatGPT;;4.051904201507568;4.341583251953125;0.28967905044555664;correct
;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Pasilikau vietos spintelėje makaronams ir ryžiams.;Pasilikau vietos spintelėje ant makaronų ir ryžių.; ;;ChatGPT;;5.307258605957031;4.781675338745117;-0.5255832672119141;incorrect
;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Jis nuolat taupo laiką pasiruošimui egzaminui.;Jis nuolat taupo laiką ant pasiruošimo egzaminui.; ;;ChatGPT;;4.652017593383789;5.028763771057129;0.37674617767333984;correct
;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Jau surinkome pinigus vakarėliui, kuris vyks penktadienį.;Jau surinkome pinigus ant vakarėlio, kuris vyks penktadienį.; ;;ChatGPT;;3.3817970752716064;4.2218241691589355;0.8400270938873291;correct
214.0;2;Use of Prepositions;7;4.1 Ant;9;4.1.9 Ant should not be used to express purpose/intended use/aim of an action.;1;;Mokosi inžinieriumi.;Mokosi ant inžinieriaus.; ;;vlkk;;6.50449800491333;6.242799282073975;-0.26169872283935547;incorrect
215.0;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;1;domėtis (apie ką);Direktorius per mažai domėjosi darbo sąlygomis.;Direktorius per mažai domėjosi apie darbo sąlygas.; ;;vlkk;;3.8735623359680176;3.8453497886657715;-0.028212547302246094;incorrect
216.0;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;2;ginčytis (apie ką);Dėl ko čia ginčijatės?;Apie ką čia ginčijatės?; ;;vlkk;;4.371501922607422;5.68524694442749;1.3137450218200684;correct
217.0;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;2;ginčytis (apie ką);Kilo ginčas dėl pelno paskirstymo.;Kilo ginčas apie pelno paskirstymą.; ;;vlkk;;4.869397163391113;5.248683929443359;0.3792867660522461;correct
218.0;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;3;rodyti (apie ką);Ši lentelė rodo gamybos tempų kitimą.;Ši lentelė rodo apie gamybos tempų kitimą.; ;;vlkk;;4.375550746917725;4.191959381103516;-0.18359136581420898;incorrect
219.0;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;4;skųstis (apie ką);Nėra ko tau skųstis gyvenimu.;Nėra ko tau skųstis apie gyvenimą.; ;;vlkk;;4.506777286529541;3.739563465118408;-0.7672138214111328;incorrect
;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;1;domėtis (apie ką);Mokytoja domėjosi mokinių pasiekimais ir pažangumu.;Mokytoja domėjosi apie mokinių pasiekimus ir pažangumą.; ;;ChatGPT;;3.8372128009796143;3.7633166313171387;-0.07389616966247559;incorrect
;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;2;ginčytis (apie ką);Tėvai ginčijosi dėl vaikų vasaros atostogų planų.;Tėvai ginčijosi apie vaikų vasaros atostogų planus.; ;;ChatGPT;;2.810134172439575;3.291156768798828;0.48102259635925293;correct
;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;4;skųstis (apie ką);Kaimynas skundėsi triukšmu naktį.;Kaimynas skundėsi apie triukšmą naktį.; ;;ChatGPT;;3.8153350353240967;3.7451369762420654;-0.07019805908203125;incorrect
;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;3;rodyti (apie ką);Direktorius rodė darbuotojams naujas darbo procedūras.;Direktorius rodė darbuotojams apie naujas darbo procedūras.; ;;ChatGPT;;3.9675486087799072;3.5945475101470947;-0.3730010986328125;incorrect
220.0;2;Use of Prepositions;8;4.2 Apie;1;4.2.1 Apie should not be used to express the object of an action with certain words.;4;skųstis (apie ką);Gauname nemaža skundų dėl duonos kokybės.;Gauname nemaža skundų apie duonos kokybę.; ;;vlkk;;3.9953677654266357;4.372157096862793;0.3767893314361572;correct
221.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;1;atsiliepti (į ką);Nemiga visada neigiamai atsiliepia darbingumui.;Nemiga visada neigiamai atsiliepia į darbingumą.; ;;vlkk;;5.122193336486816;4.822235107421875;-0.2999582290649414;incorrect
222.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;2;daryti įtaką (į ką);Tėvų elgesys visada daro įtaką vaikams.;Tėvų elgesys visada daro įtaką į vaikus.; ;;vlkk;;2.2755277156829834;3.2518060207366943;0.9762783050537109;correct
223.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;3;daryti poveikį (į ką);Aptarė naujų vaistų poveikį organizmui.;Aptarė naujų vaistų poveikį į organizmą.; ;;vlkk;;4.914387226104736;4.385603904724121;-0.5287833213806152;incorrect
224.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;4;daryti spaudimą (į ką);Jie darė spaudimą mūsų darbuotojams.;Jie darė spaudimą į mūsų darbuotojus.; ;;vlkk;;3.902216672897339;3.8701255321502686;-0.03209114074707031;incorrect
225.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;5;įsimylėti (į ką);Visi mokiniai įsimylėję naująjį mokytoją.;Visi mokiniai įsimylėję į naująjį mokytoją.; ;;vlkk;;3.279543876647949;3.3830344676971436;0.10349059104919434;correct
226.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;6;nurodyti (į ką);Vadovas nurodė keletą darbo trūkumų.;Vadovas nurodė į keletą darbo trūkumų.; ;;vlkk;;3.639669179916382;3.972231149673462;0.3325619697570801;correct
227.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;7;skirti dėmesį (į ką);Skirkite daugiau dėmesio ligų profilaktikai.;Skirkite daugiau dėmesio į ligų profilaktiką.; ;;vlkk;;4.311428070068359;4.243071556091309;-0.06835651397705078;incorrect
228.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;8;veikti (į ką);Orai labai veikia žmonių nuotaikas.;Orai labai veikia į žmonių nuotaikas.; ;;vlkk;;4.781998634338379;4.711889266967773;-0.07010936737060547;incorrect
229.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;9;žaisti (į ką);Žaiskime karą arba futbolą.;Žaiskime į karą arba į futbolą.; ;;vlkk;;5.425317287445068;4.140426158905029;-1.284891128540039;incorrect
230.0;2;Use of Prepositions;9;4.3 Į;1;4.3.1 Į should not be used to express the object of an action with certain words.;9;žaisti (į ką);Užteks žaisti slėpynes.;Užteks žaisti į slėpynes.; ;;vlkk;;6.99165153503418;5.908637523651123;-1.0830140113830566;incorrect
231.0;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Dabar jam ne egzaminai rūpi.;Dabar jam ne iki egzaminų.; ;;vlkk;;6.481201171875;6.628929138183594;0.14772796630859375;correct
232.0;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Šiandien žvejams ne raudės galvoje – laukia privatizavimo.;Šiandien žvejams ne iki raudžių – laukia privatizavimo.; ;;vlkk;;4.272840976715088;4.389967441558838;0.11712646484375;correct
;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Jiems šiandien ne šokiai rūpi.;Jiems šiandien ne iki šokių.; ;Changed the sentence to make it more different from the first one.;internet;https://alytus.lt/uploads/documents/files/LT/savivaldybes-administracija/administracine-informacija/kalbos%20taisyklingumas/Administracinės%20kalbos%20atmintinė%202019%2002%2018.pdf;5.183613300323486;5.4811530113220215;0.29753971099853516;correct
;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Man dabar ne jūsų problemos galvoje.;Man dabar ne iki jūsų problemų.; ;;internet;https://www.mazeikiai.lt › files › rekomendacijos;5.444342613220215;5.483165264129639;0.03882265090942383;correct
;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Šiandien studentams ne paskaitos rūpi – jie galvoja apie egzaminus.;Šiandien studentams ne iki paskaitų – jie galvoja apie egzaminus.; ;;ChatGPT;;3.2291107177734375;3.290330171585083;0.06121945381164551;correct
;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Man šiandien ne kavos gerti norisi, o pailsėti.;Man šiandien ne iki kavos gerti, o pailsėti.; ;;ChatGPT;;4.1240105628967285;4.168543815612793;0.04453325271606445;correct
;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Vaikams šiandien ne saldumynai galvoje – laukia pamokos.;Vaikams šiandien ne iki saldumynų – laukia pamokos.; ;;ChatGPT;;4.632405757904053;4.790050983428955;0.15764522552490234;correct
;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Jiems dabar ne pokalbiai rūpi - reikia surasti sprendimą.;Jiems dabar ne iki pokalbių - reikia surasti sprendimą.; ;;ChatGPT;;4.472180366516113;4.527729511260986;0.05554914474487305;correct
;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Po visos dienos darbų darbuotojams ne biuro reikalai galvoje - norisi kuo greičiau grįžti namo ir pailsėti.;Po visos dienos darbų darbuotojams ne iki biuro reikalų - norisi kuo greičiau grįžti namo ir pailsėti.; ;;ChatGPT;;3.257936477661133;3.4064583778381348;0.14852190017700195;correct
233.0;2;Use of Prepositions;10;4.4 Iki;1;4.4.1 Iki should not be used to express a state in an impersonal sentence.;1;;Visiems buvo ne juokas galvoj.;Visiems buvo ne iki juoko.; ;;vlkk;;6.619002342224121;6.887280464172363;0.2682781219482422;correct
234.0;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Remsimės spalio 17 dienos nutarimu.;Remsimės nutarimu iš spalio 17 dienos.; ;;vlkk;;4.938626766204834;4.28875732421875;-0.649869441986084;incorrect
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Gavome Lietuvos Respublikos žemės ūkio ministerijos lapkričio 18 dienos pranešimą.;Gavome Lietuvos Respublikos žemės ūkio ministerijos pranešimą iš lapkričio 18 dienos.; ;;corpus;http://tekstynas.vdu.lt/tekstynas/search.all;2.3569962978363037;2.260446548461914;-0.09654974937438965;incorrect
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Atsisiuntėme Lietuvos banko spalio 7 dienos raštą.;Atsisiuntėme Lietuvos banko raštą iš spalio 7 dienos.; ;;corpus;http://tekstynas.vdu.lt/tekstynas/search.all;3.8374826908111572;3.3985092639923096;-0.43897342681884766;incorrect
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Dabar perskaitysime svarbią lapkričio 10 dienos žinutę.;Dabar perskaitysime svarbią žinutę iš lapkričio 10 dienos.; ;;corpus;http://tekstynas.vdu.lt/tekstynas/search.all;3.6327409744262695;3.2498366832733154;-0.3829042911529541;incorrect
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Perskaitėme spalio 20 dienos memorandumą, skirtą darbuotojams.;Perskaitėme memorandumą iš spalio 20 dienos, skirtą darbuotojams.; ;;ChatGPT;;4.006681442260742;3.711029529571533;-0.295651912689209;incorrect
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Susipažinome su rugsėjo 15 dienos ataskaita apie finansinę veiklą.;Susipažinome su ataskaita iš rugsėjo 15 dienos apie finansinę veiklą.; ;;ChatGPT;;3.161611318588257;3.197596311569214;0.03598499298095703;correct
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Jis vadovaujasi birželio 3 dienos direktyva, nustatančia naujas procedūras.;Jis vadovaujasi direktyva iš birželio 3 dienos, nustatančia naujas procedūras.; ;;ChatGPT;;4.167688369750977;3.8600802421569824;-0.30760812759399414;incorrect
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Šio klausimo nagrinėjimui remsimės oficialiu spalio 2 dienos dokumentu.;Šio klausimo nagrinėjimui remsimės oficialiu dokumentu iš spalio 2 dienos.; ;;ChatGPT;;3.5409228801727295;3.4608986377716064;-0.08002424240112305;incorrect
;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Gavome lapkričio 25 dienos pranešimą dėl pasikeitusių taisyklių.;Gavome pranešimą iš lapkričio 25 dienos dėl pasikeitusių taisyklių.; ;;ChatGPT;;3.463956594467163;2.599625825881958;-0.8643307685852051;incorrect
235.0;2;Use of Prepositions;11;4.5 Iš;1;4.5.1 Iš should not be used with certain words to indicate the date of writing.;1;;Reikia patikrinti kovo 5 dienos protokolą.;Reikia patikrinti protokolą iš kovo 5 dienos.; ;;vlkk;;3.7350401878356934;3.4794914722442627;-0.25554871559143066;incorrect
236.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Kiek turi pinigų?;Kiek pas tave pinigų?; ;;vlkk;;3.9353859424591064;5.402741432189941;1.467355489730835;correct
237.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Kas turi klausimų?;Pas ką yra klausimų?; ;;vlkk;;3.825653076171875;7.283205032348633;3.457551956176758;correct
238.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Neturiu laiko.;Pas mane nėra laiko.; ;;vlkk;;6.220085144042969;5.43399715423584;-0.7860879898071289;incorrect
239.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Jos gražūs plaukai.;Pas ją gražūs plaukai.; ;;vlkk;;5.21453332901001;6.147581577301025;0.9330482482910156;correct
240.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Jai gimė sūnus.;Pas ją gimė sūnus.; ;;vlkk;;6.475601673126221;8.31440258026123;1.8388009071350098;correct
241.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Man pakilo temperatūra.;Pas mane pakilo temperatūra.; ;;vlkk;;7.481025695800781;8.34349536895752;0.8624696731567383;correct
;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Aš turiu ne vieną gerą draugą.;Pas mane ne vienas geras draugas.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.983957529067993;7.636056900024414;3.652099370956421;correct
;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Kaimynui atsitiko avarija.;Pas kaimyną atsitiko avarija.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;5.255771636962891;4.8411760330200195;-0.4145956039428711;incorrect
242.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Tavo negerai parašyta.;Pas tave negerai parašyta.; ;;vlkk;;7.356087684631348;6.751513481140137;-0.6045742034912109;incorrect
243.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Čigonų įdomūs laidojimo papročiai.;Pas čigonus įdomūs laidojimo papročiai.; ;;vlkk;;4.385014057159424;5.348445892333984;0.9634318351745605;correct
244.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Varžovui neišlaikė nervai.;Pas varžovą neišlaikė nervai.; ;;vlkk;;6.146607875823975;5.62953519821167;-0.5170726776123047;incorrect
245.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Neseniai jam išoperavo apendiksą.;Neseniai pas jį išoperavo apendiksą.; ;;vlkk;;7.3123674392700195;7.071097373962402;-0.2412700653076172;incorrect
246.0;2;Use of Prepositions;12;4.6 Pas;1;4.6.1 Pas should not be used to indicate ownership, belonging, or possession.;1;;Pirma vieta atiteko Jonaičiui.;Pirma vieta pas Jonaitį.; ;;vlkk;;4.960774898529053;8.023759841918945;3.0629849433898926;correct
247.0;2;Use of Prepositions;12;4.6 Pas;2;4.6.2 Pas should not be used to express the recipient or source of an action, not related to location, with verbs.;1;atsiprašyti;Atsiprašyk mokytoją už įžeidimą.;Atsiprašyk pas mokytoją už įžeidimą.; ;;vlkk;;4.053507328033447;4.4453630447387695;0.39185571670532227;correct
248.0;2;Use of Prepositions;12;4.6 Pas;2;4.6.2 Pas should not be used to express the recipient or source of an action, not related to location, with verbs.;2;gauti;Iš ko gavai tą žurnalą?;Pas ką gavai tą žurnalą?; ;;vlkk;;5.8658671379089355;6.311779975891113;0.44591283798217773;correct
